,timestamp,time,name,startTime,endTime,minUsed
174,1557105346896,5967,Samsung Experience 홈,2019-05-06 01:15:46.896,2019-05-06 01:15:52.863,0.09945
175,1557105352901,31629,삼성 인터넷,2019-05-06 01:15:52.901,2019-05-06 01:16:24.530,0.52715
176,1557105384549,3363,Samsung Experience 홈,2019-05-06 01:16:24.549,2019-05-06 01:16:27.912,0.05605
177,1557105387942,2944,Facebook,2019-05-06 01:16:27.942,2019-05-06 01:16:30.886,0.04906666666666667
178,1557105390886,16,Facebook,2019-05-06 01:16:30.886,2019-05-06 01:16:30.902,0.0002666666666666667
179,1557105390902,65372,Facebook,2019-05-06 01:16:30.902,2019-05-06 01:17:36.274,1.0895333333333332
180,1557105456274,33,Facebook,2019-05-06 01:17:36.274,2019-05-06 01:17:36.307,0.00055
181,1557105456307,1440,Facebook,2019-05-06 01:17:36.307,2019-05-06 01:17:37.747,0.024
182,1557105457747,54,Facebook,2019-05-06 01:17:37.747,2019-05-06 01:17:37.801,0.0009
183,1557105457801,11532,Facebook,2019-05-06 01:17:37.801,2019-05-06 01:17:49.333,0.1922
184,1557105469333,75,Facebook,2019-05-06 01:17:49.333,2019-05-06 01:17:49.408,0.00125
185,1557105469408,6905,Facebook,2019-05-06 01:17:49.408,2019-05-06 01:17:56.313,0.11508333333333333
186,1557105476368,129,카카오톡,2019-05-06 01:17:56.368,2019-05-06 01:17:56.497,0.00215
187,1557105476497,66,카카오톡,2019-05-06 01:17:56.497,2019-05-06 01:17:56.563,0.0011
188,1557105476563,85,카카오톡,2019-05-06 01:17:56.563,2019-05-06 01:17:56.648,0.0014166666666666668
189,1557105476648,71,카카오톡,2019-05-06 01:17:56.648,2019-05-06 01:17:56.719,0.0011833333333333333
190,1557105476719,21550,카카오톡,2019-05-06 01:17:56.719,2019-05-06 01:18:18.269,0.3591666666666667
191,1557105498269,39,카카오톡,2019-05-06 01:18:18.269,2019-05-06 01:18:18.308,0.00065
192,1557105498308,71,카카오톡,2019-05-06 01:18:18.308,2019-05-06 01:18:18.379,0.0011833333333333333
193,1557105498379,85,카카오톡,2019-05-06 01:18:18.379,2019-05-06 01:18:18.464,0.0014166666666666668
194,1557105498464,377,카카오톡,2019-05-06 01:18:18.464,2019-05-06 01:18:18.841,0.0062833333333333335
195,1557105498856,877,Samsung Experience 홈,2019-05-06 01:18:18.856,2019-05-06 01:18:19.733,0.014616666666666667
196,1557105499763,8929,삼성 인터넷,2019-05-06 01:18:19.763,2019-05-06 01:18:28.692,0.14881666666666668
